OBJECTID,gwra_area_name,gwra_status,gwra_ors,effective_date,affected_aquifer_formation,allowable_uses,other_limitations,affected_area_sq_mi,exhibit_link,source_link,gwra_area_name_key,InPoly_FID,SimPgnFlag,MaxSimpTol,MinSimpTol,Shape__Area,Shape__Length
1,Amity Hills/Walnut Hill,Limited,OAR 690-502-0210,12/4/2003 12:00:00 AM,Columbia River Basalt,"Exempt uses, Irrigation by limited license",Irr. to establish crop Efficiency stds,50,http://www.oregon.gov/owrd/law/docs/law/div_502-willamette_basin.pdf,https://secure.sos.state.or.us/oard/viewSingleRule.action?ruleVrsnRsn=179896,Amity_Hills_Walnut_Hill,1,0,10.00002,10.00002,255953502.179688,78675.1433788594
2,Butter Cr,Critical,Special Order Vol. 40 Pg 1,1/27/1986 12:00:00 AM,Columbia River Basalt,Exempt Use Only,,274,,http://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?Type=Order&volume_nbr=40&page_nbr=1&page_char=&order_origin=SPC,Butter_Creek,2,0,10.00002,10.00002,1478190597.70313,210183.321511758
3,Chehalem Mountain,Limited,OAR 690-502-0200,3/13/1992 12:00:00 AM,Columbia River Basalt,"Exempt uses, 5-year permits on irrigation, fire protection",One ac-ft/ac on irr. Drip efficiency,104,http://www.oregon.gov/owrd/law/docs/law/div_502-willamette_basin.pdf,https://secure.sos.state.or.us/oard/viewSingleRule.action?ruleVrsnRsn=179895,Chehalem_Mountain,3,0,10.00002,10.00002,546137186.71875,118926.432134307
4,Cooper Mtn-Bull Mtn,Critical,Special Order Vol. 24 Pg 370,5/17/1974 12:00:00 AM,Columbia River Basalt,Exempt Use Only,Dom. exemption on 10 ac minimum,41,,http://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?Type=Order&volume_nbr=24&page_nbr=370&page_char=&order_origin=SPC,Cooper_Mtn-Bull_Mtn,4,0,10.00002,10.00002,217609063.984375,58782.1665336235
5,Cow Valley,Critical,Special Order Vol. 10 Pg 216,11/12/1959 12:00:00 AM,Alluvial aquifer,Exempt Use Only,,33,,http://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?Type=Order&volume_nbr=10&page_nbr=216&page_char=&order_origin=SPC,Cow_Valley,5,0,10.00002,10.00002,161089654.0625,57772.5952844887
6,Damascus,Limited,OAR 690-502-0180,3/13/1992 12:00:00 AM,Columbia River Basalt Troutdale Formation,Exempt Use Only,,20,http://www.oregon.gov/owrd/law/docs/law/div_502-willamette_basin.pdf,https://secure.sos.state.or.us/oard/viewSingleRule.action?ruleVrsnRsn=179893,Damascus,6,0,10.00002,10.00002,107648778.921875,44442.4149248717
7,Ella Butte,Classified,OAR 690-507-0070(3),1/25/1990 12:00:00 AM,Columbia River Basalt,Exempt Use Only,,151,http://www.oregon.gov/owrd/LAW/docs/law/690_507_Exhibitmaps_2017_May_22.pdf,https://secure.sos.state.or.us/oard/viewSingleRule.action?ruleVrsnRsn=180106,Ella_Butte,7,0,10.00002,10.00002,799264589.398438,143370.928629439
8,Eola Hills,Limited,OAR 690-502-0200,3/13/1992 12:00:00 AM,Columbia River Basalt,"Exempt uses, 5-year permits on irrigation, fire protection",One ac-ft/ac on irr. Drip efficiency,81,http://www.oregon.gov/owrd/law/docs/law/div_502-willamette_basin.pdf,https://secure.sos.state.or.us/oard/viewSingleRule.action?ruleVrsnRsn=179895,Eola_Hills,8,0,10.00002,10.00002,412985148.804688,91129.8793435364
9,Fort Rock,Classified,OAR 690-513-0060(2)(n),2/23/1990 12:00:00 AM,Basin fill / volcanics,"Most exempt use, QM others (see rule)",,2161,http://www.oregon.gov/owrd/LAW/docs/law/690_507_Exhibitmaps_2017_May_22.pdf,https://secure.sos.state.or.us/oard/viewSingleRule.action?ruleVrsnRsn=180278,Fort_Rock,9,0,10.00002,10.00002,10565644654.9766,415109.989065358
10,Gladtidings,Limited,OAR 690-502-0180,3/13/1992 12:00:00 AM,Columbia River Basalt,Exempt Use Only,,25,http://www.oregon.gov/owrd/law/docs/law/div_502-willamette_basin.pdf,https://secure.sos.state.or.us/oard/viewSingleRule.action?ruleVrsnRsn=179893,Gladtidings,10,0,10.00002,10.00002,129693323.351563,54691.1207286551
